Leave Type,Date From,Date To,Leave Hrs,Leave Days,Status,Actions
FULL PAY Personal Leave without evidence,22/04/2026,24/04/2026,22:30,3,Approved,
Study Leave Full Pay,02/01/2026,09/01/2026,45:00:00,6,Approved,
Study Leave Full Pay,22/12/2025,24/12/2025,22:30,3,Approved,
Annual Leave Full Pay,04/07/2025,09/07/2025,30:00:00,4,Approved,
Study Leave Full Pay,26/05/2025,29/05/2025,30:00:00,4,Approved,
Study Leave Full Pay,23/05/2025,23/05/2025,07:30,1,Approved,
Study Leave Full Pay,22/04/2025,24/04/2025,22:30,3,Approved,
Annual Leave Full Pay,31/03/2025,02/04/2025,22:30,3,Approved,
Study Leave Full Pay,12/03/2025,13/03/2025,15:00,2,Approved,
Other Leave - Disaster Situations,06/03/2025,07/03/2025,15:00,2,Approved,
FULL PAY Personal Leave without evidence,03/03/2025,03/03/2025,07:30,1,Approved,
Annual Leave Full Pay,13/01/2025,14/01/2025,15:00,2,Approved,
Annual Leave Full Pay,06/01/2025,10/01/2025,37:30:00,5,Approved,
Annual Leave Full Pay,15/08/2024,16/08/2024,15:00,2,Approved,
FULL PAY Personal Leave without evidence,16/05/2024,16/05/2024,07:30,1,Approved,
FULL PAY Personal Leave without evidence,15/05/2024,15/05/2024,05:15,0.7,Approved,
Annual Leave Full Pay,08/03/2024,08/03/2024,07:30,1,Approved,
